Region,Country,Manager,Distributor,Distributor_Group,Product_Category,Month,Year,sell_in_value,sell_in_count,sell_out_value,sell_out_count,inventory_value,inventory_count
APAC,China,Alice,Distributor A,Group 1,Category 2,7,2024,4728,324,3700,350,988,73
APAC,China,Alice,Distributor A,Group 1,Category 2,7,2025,3179,480,1559,83,792,56
APAC,China,Alice,Distributor A,Group 1,Category 2,8,2023,4351,254,2990,266,544,68
APAC,China,Alice,Distributor A,Group 1,Category 2,8,2024,1727,222,1492,187,756,42
APAC,China,Alice,Distributor A,Group 1,Category 2,8,2025,2617,154,1903,143,755,91
APAC,China,Alice,Distributor A,Group 1,Category 2,9,2023,2139,411,2314,232,486,61
APAC,China,Alice,Distributor A,Group 1,Category 2,9,2024,1007,241,3085,282,942,53
APAC,China,Alice,Distributor A,Group 1,Category 2,10,2023,4147,368,3243,376,459,93
APAC,China,Alice,Distributor A,Group 1,Category 2,10,2024,3951,498,3828,316,327,27
APAC,China,Alice,Distributor A,Group 1,Category 2,11,2023,4525,262,2212,200,761,46
APAC,China,Alice,Distributor A,Group 1,Category 2,11,2024,1670,258,3768,97,424,84
APAC,China,Alice,Distributor A,Group 1,Category 2,12,2023,1455,164,3386,285,521,86
APAC,China,Alice,Distributor A,Group 1,Category 2,12,2024,1277,294,2241,270,613,39
APAC,China,Alice,Distributor A,Group 1,Category 3,1,2023,4865,379,3241,223,263,97
APAC,China,Alice,Distributor A,Group 1,Category 3,1,2024,2548,185,1498,396,596,84
APAC,China,Alice,Distributor A,Group 1,Category 3,1,2025,1666,275,2737,87,873,97
APAC,China,Alice,Distributor A,Group 1,Category 3,2,2023,3058,256,908,177,731,50
APAC,China,Alice,Distributor A,Group 1,Category 3,2,2024,2797,129,1085,184,769,66
APAC,China,Alice,Distributor A,Group 1,Category 3,2,2025,1929,201,827,293,402,41
APAC,China,Alice,Distributor A,Group 1,Category 3,3,2023,3454,186,2242,150,970,46
APAC,China,Alice,Distributor A,Group 1,Category 3,3,2024,3256,373,2751,274,650,85
APAC,China,Alice,Distributor A,Group 1,Category 3,3,2025,4680,205,2136,238,277,50
APAC,China,Alice,Distributor A,Group 1,Category 3,4,2023,4927,479,3412,169,349,57
APAC,China,Alice,Distributor A,Group 1,Category 3,4,2024,1656,356,2967,174,788,62
APAC,China,Alice,Distributor A,Group 1,Category 3,4,2025,3801,195,2953,93,227,50
APAC,China,Alice,Distributor A,Group 1,Category 3,5,2023,3842,136,2607,86,291,98
APAC,China,Alice,Distributor A,Group 1,Category 3,5,2024,4396,432,2062,279,393,95
APAC,China,Alice,Distributor A,Group 1,Category 3,5,2025,2110,135,1130,265,963,95
APAC,China,Alice,Distributor A,Group 1,Category 3,6,2023,4408,280,3546,259,583,97
APAC,China,Alice,Distributor A,Group 1,Category 3,6,2024,3779,343,1776,228,431,68
APAC,China,Alice,Distributor A,Group 1,Category 3,6,2025,3567,412,3028,126,291,71
APAC,China,Alice,Distributor A,Group 1,Category 3,7,2023,4838,348,2240,379,313,45
APAC,China,Alice,Distributor A,Group 1,Category 3,7,2024,3034,148,2885,191,924,39
APAC,China,Alice,Distributor A,Group 1,Category 3,7,2025,1210,288,3982,272,987,38
APAC,China,Alice,Distributor A,Group 1,Category 3,8,2023,2943,348,1176,262,557,24
APAC,China,Alice,Distributor A,Group 1,Category 3,8,2024,4175,108,921,171,581,97
APAC,China,Alice,Distributor A,Group 1,Category 3,8,2025,3400,443,2220,392,470,61
APAC,China,Alice,Distributor A,Group 1,Category 3,9,2023,1362,296,2324,232,591,67
APAC,China,Alice,Distributor A,Group 1,Category 3,9,2024,1973,276,2972,242,858,66
APAC,China,Alice,Distributor A,Group 1,Category 3,10,2023,2453,359,1331,325,441,87
APAC,China,Alice,Distributor A,Group 1,Category 3,10,2024,1968,383,959,124,806,22
APAC,China,Alice,Distributor A,Group 1,Category 3,11,2023,2329,374,1668,331,901,82
APAC,China,Alice,Distributor A,Group 1,Category 3,11,2024,4680,379,2512,255,545,39
APAC,China,Alice,Distributor A,Group 1,Category 3,12,2023,2917,235,1770,95,896,62
APAC,China,Alice,Distributor A,Group 1,Category 3,12,2024,3159,188,965,152,940,55
APAC,China,Alice,Distributor A,Group 2,Category 1,1,2023,1794,141,3687,103,333,64
APAC,China,Alice,Distributor A,Group 2,Category 1,1,2024,1427,151,3886,384,833,23
APAC,China,Alice,Distributor A,Group 2,Category 1,1,2025,2260,229,1258,187,863,79
APAC,China,Alice,Distributor A,Group 2,Category 1,2,2023,4876,390,2756,130,449,77
APAC,China,Alice,Distributor A,Group 2,Category 1,2,2024,2848,237,2786,203,270,24
APAC,China,Alice,Distributor A,Group 2,Category 1,2,2025,4633,461,3694,321,504,77
APAC,China,Alice,Distributor A,Group 2,Category 1,3,2023,2712,392,2645,101,848,42
APAC,China,Alice,Distributor A,Group 2,Category 1,3,2024,1018,133,1245,154,431,56
APAC,China,Alice,Distributor A,Group 2,Category 1,3,2025,3719,192,2039,93,480,26
APAC,China,Alice,Distributor A,Group 2,Category 1,4,2023,4450,107,1999,260,675,68
APAC,China,Alice,Distributor A,Group 2,Category 1,4,2024,1781,476,3984,262,435,34
APAC,China,Alice,Distributor A,Group 2,Category 1,4,2025,3371,255,2543,212,467,55
APAC,China,Alice,Distributor A,Group 2,Category 1,5,2023,1828,304,2410,265,256,21
APAC,China,Alice,Distributor A,Group 2,Category 1,5,2024,1485,457,2787,99,752,86
APAC,China,Alice,Distributor A,Group 2,Category 1,5,2025,4213,306,2243,137,783,86
APAC,China,Alice,Distributor A,Group 2,Category 1,6,2023,2764,144,3808,93,466,57
APAC,China,Alice,Distributor A,Group 2,Category 1,6,2024,1927,373,1803,262,526,58
APAC,China,Alice,Distributor A,Group 2,Category 1,6,2025,3582,349,2571,164,322,77
APAC,China,Alice,Distributor A,Group 2,Category 1,7,2023,1202,285,851,326,554,70
APAC,China,Alice,Distributor A,Group 2,Category 1,7,2024,3192,240,2685,387,243,25
APAC,China,Alice,Distributor A,Group 2,Category 1,7,2025,1818,144,3235,348,322,76
APAC,China,Alice,Distributor A,Group 2,Category 1,8,2023,3756,263,1205,166,756,38
APAC,China,Alice,Distributor A,Group 2,Category 1,8,2024,4391,374,812,283,805,95
APAC,China,Alice,Distributor A,Group 2,Category 1,8,2025,4812,137,3833,189,692,54
APAC,China,Alice,Distributor A,Group 2,Category 1,9,2023,4971,243,2023,247,776,67
APAC,China,Alice,Distributor A,Group 2,Category 1,9,2024,4306,355,2056,209,949,49
APAC,China,Alice,Distributor A,Group 2,Category 1,10,2023,4896,335,1957,394,794,58
APAC,China,Alice,Distributor A,Group 2,Category 1,10,2024,3939,405,2923,355,810,50
APAC,China,Alice,Distributor A,Group 2,Category 1,11,2023,3232,196,1299,313,962,94
APAC,China,Alice,Distributor A,Group 2,Category 1,11,2024,2811,306,3236,201,742,39
APAC,China,Alice,Distributor A,Group 2,Category 1,12,2023,4857,298,3890,282,503,66
APAC,China,Alice,Distributor A,Group 2,Category 1,12,2024,1981,350,2073,210,556,89
APAC,China,Alice,Distributor A,Group 2,Category 2,1,2023,4767,402,3232,175,301,78
APAC,China,Alice,Distributor A,Group 2,Category 2,1,2024,3611,462,1274,171,664,59
APAC,China,Alice,Distributor A,Group 2,Category 2,1,2025,1924,180,1406,151,204,46
APAC,China,Alice,Distributor A,Group 2,Category 2,2,2023,4541,357,3065,309,580,57
APAC,China,Alice,Distributor A,Group 2,Category 2,2,2024,4504,110,3030,148,416,86
APAC,China,Alice,Distributor A,Group 2,Category 2,2,2025,2861,474,1134,329,274,24
APAC,China,Alice,Distributor A,Group 2,Category 2,3,2023,4606,198,2294,162,864,59
APAC,China,Alice,Distributor A,Group 2,Category 2,3,2024,1495,371,3232,279,246,27
APAC,China,Alice,Distributor A,Group 2,Category 2,3,2025,4444,169,2550,271,827,26
APAC,China,Alice,Distributor A,Group 2,Category 2,4,2023,1391,227,1475,163,852,54
APAC,China,Alice,Distributor A,Group 2,Category 2,4,2024,4054,280,1526,188,925,55
APAC,China,Alice,Distributor A,Group 2,Category 2,4,2025,2866,362,988,183,507,22
APAC,China,Alice,Distributor A,Group 2,Category 2,5,2023,1448,170,2250,390,518,80
APAC,China,Alice,Distributor A,Group 2,Category 2,5,2024,3050,114,3493,196,661,57
APAC,China,Alice,Distributor A,Group 2,Category 2,5,2025,2911,200,2693,366,356,45
APAC,China,Alice,Distributor A,Group 2,Category 2,6,2023,3630,267,3622,144,352,57
APAC,China,Alice,Distributor A,Group 2,Category 2,6,2024,2990,484,3440,148,339,96
APAC,China,Alice,Distributor A,Group 2,Category 2,6,2025,4315,395,2161,89,909,29
APAC,China,Alice,Distributor A,Group 2,Category 2,7,2023,1311,467,3312,242,460,48
APAC,China,Alice,Distributor A,Group 2,Category 2,7,2024,2992,493,2418,173,421,62
APAC,China,Alice,Distributor A,Group 2,Category 2,7,2025,3691,290,1211,206,583,23
APAC,China,Alice,Distributor A,Group 2,Category 2,8,2023,1171,127,929,320,277,21
APAC,China,Alice,Distributor A,Group 2,Category 2,8,2024,1378,468,2330,120,919,86
APAC,China,Alice,Distributor A,Group 2,Category 2,8,2025,3124,273,3518,276,324,23
APAC,China,Alice,Distributor A,Group 2,Category 2,9,2023,4854,161,3215,132,317,95
APAC,China,Alice,Distributor A,Group 2,Category 2,9,2024,2096,295,3513,84,230,47
APAC,China,Alice,Distributor A,Group 2,Category 2,10,2023,2803,409,3582,123,293,44
APAC,China,Alice,Distributor A,Group 2,Category 2,10,2024,4311,447,2976,276,531,83
APAC,China,Alice,Distributor A,Group 2,Category 2,11,2023,4671,264,1392,200,924,52
APAC,China,Alice,Distributor A,Group 2,Category 2,11,2024,1177,212,1469,198,241,20
APAC,China,Alice,Distributor A,Group 2,Category 2,12,2023,3334,180,1638,249,629,64
APAC,China,Alice,Distributor A,Group 2,Category 2,12,2024,2693,459,2300,248,356,26
APAC,China,Alice,Distributor A,Group 2,Category 3,1,2023,2834,434,1719,169,766,49
APAC,China,Alice,Distributor A,Group 2,Category 3,1,2024,4079,118,2562,269,655,56
APAC,China,Alice,Distributor A,Group 2,Category 3,1,2025,3905,492,3161,302,476,22
APAC,China,Alice,Distributor A,Group 2,Category 3,2,2023,2434,285,3314,242,605,67
APAC,China,Alice,Distributor A,Group 2,Category 3,2,2024,4941,263,1274,145,417,37
APAC,China,Alice,Distributor A,Group 2,Category 3,2,2025,2297,349,1418,205,523,83
APAC,China,Alice,Distributor A,Group 2,Category 3,3,2023,1032,346,2753,374,939,41
APAC,China,Alice,Distributor A,Group 2,Category 3,3,2024,2022,346,3572,393,895,45
APAC,China,Alice,Distributor A,Group 2,Category 3,3,2025,2263,315,1820,334,814,66
APAC,China,Alice,Distributor A,Group 2,Category 3,4,2023,3030,414,2422,151,296,80
APAC,China,Alice,Distributor A,Group 2,Category 3,4,2024,3232,379,2980,226,972,73
APAC,China,Alice,Distributor A,Group 2,Category 3,4,2025,4684,362,2647,271,980,99
APAC,China,Alice,Distributor A,Group 2,Category 3,5,2023,1567,373,1808,245,545,93
APAC,China,Alice,Distributor A,Group 2,Category 3,5,2024,3366,408,2351,101,908,93
APAC,China,Alice,Distributor A,Group 2,Category 3,5,2025,1790,196,3228,175,504,77
APAC,China,Alice,Distributor A,Group 2,Category 3,6,2023,3122,325,3866,303,304,29
APAC,China,Alice,Distributor A,Group 2,Category 3,6,2024,3196,222,1242,149,775,62
APAC,China,Alice,Distributor A,Group 2,Category 3,6,2025,3193,402,1079,217,906,85
APAC,China,Alice,Distributor A,Group 2,Category 3,7,2023,4136,269,1897,340,742,28
APAC,China,Alice,Distributor A,Group 2,Category 3,7,2024,3089,192,1965,359,611,35
APAC,China,Alice,Distributor A,Group 2,Category 3,7,2025,2625,324,1668,223,857,85
APAC,China,Alice,Distributor A,Group 2,Category 3,8,2023,2892,208,3360,229,488,25
APAC,China,Alice,Distributor A,Group 2,Category 3,8,2024,3577,145,1835,136,381,78
APAC,China,Alice,Distributor A,Group 2,Category 3,8,2025,1377,258,2490,298,417,62
APAC,China,Alice,Distributor A,Group 2,Category 3,9,2023,1133,249,977,300,763,44
APAC,China,Alice,Distributor A,Group 2,Category 3,9,2024,1971,220,2967,350,274,89
APAC,China,Alice,Distributor A,Group 2,Category 3,10,2023,2956,156,1389,264,670,54
APAC,China,Alice,Distributor A,Group 2,Category 3,10,2024,4259,245,2850,234,255,33
APAC,China,Alice,Distributor A,Group 2,Category 3,11,2023,3613,441,1128,206,942,82
APAC,China,Alice,Distributor A,Group 2,Category 3,11,2024,4613,211,3557,139,590,78
APAC,China,Alice,Distributor A,Group 2,Category 3,12,2023,4061,292,2914,373,891,64
APAC,China,Alice,Distributor A,Group 2,Category 3,12,2024,2057,118,3451,256,561,84
APAC,China,Alice,Distributor B,Group 1,Category 1,1,2023,2347,220,2925,332,340,22
APAC,China,Alice,Distributor B,Group 1,Category 1,1,2024,3269,437,855,222,306,77
APAC,China,Alice,Distributor B,Group 1,Category 1,1,2025,4630,123,1551,117,342,95
APAC,China,Alice,Distributor B,Group 1,Category 1,2,2023,1098,498,2912,185,341,39
APAC,China,Alice,Distributor B,Group 1,Category 1,2,2024,1693,287,2212,243,922,99
APAC,China,Alice,Distributor B,Group 1,Category 1,2,2025,1880,472,3263,209,905,36
APAC,China,Alice,Distributor B,Group 1,Category 1,3,2023,1475,300,811,382,810,93
APAC,China,Alice,Distributor B,Group 1,Category 1,3,2024,2791,416,2938,161,919,39
APAC,China,Alice,Distributor B,Group 1,Category 1,3,2025,1533,351,3142,144,752,56
APAC,China,Alice,Distributor B,Group 1,Category 1,4,2023,1934,273,1518,227,472,45
APAC,China,Alice,Distributor B,Group 1,Category 1,4,2024,4469,332,1783,228,752,56
APAC,China,Alice,Distributor B,Group 1,Category 1,4,2025,4292,359,3208,224,952,45
APAC,China,Alice,Distributor B,Group 1,Category 1,5,2023,1276,491,2066,263,611,43
APAC,China,Alice,Distributor B,Group 1,Category 1,5,2024,1026,387,3363,236,263,76
APAC,China,Alice,Distributor B,Group 1,Category 1,5,2025,1747,462,3907,146,697,97
APAC,China,Alice,Distributor B,Group 1,Category 1,6,2023,2566,314,2624,277,809,81
APAC,China,Alice,Distributor B,Group 1,Category 1,6,2024,4623,299,2379,243,999,38
APAC,China,Alice,Distributor B,Group 1,Category 1,6,2025,2673,315,2827,359,271,45
APAC,China,Alice,Distributor B,Group 1,Category 1,7,2023,1808,338,3753,338,396,26
APAC,China,Alice,Distributor B,Group 1,Category 1,7,2024,4892,212,1716,303,544,61
APAC,China,Alice,Distributor B,Group 1,Category 1,7,2025,2402,236,3712,86,343,88
APAC,China,Alice,Distributor B,Group 1,Category 1,8,2023,1329,492,2492,333,884,89
APAC,China,Alice,Distributor B,Group 1,Category 1,8,2024,4712,251,1630,260,801,40
APAC,China,Alice,Distributor B,Group 1,Category 1,8,2025,2610,114,2993,301,284,93
APAC,China,Alice,Distributor B,Group 1,Category 1,9,2023,3225,243,2148,130,782,42
APAC,China,Alice,Distributor B,Group 1,Category 1,9,2024,4310,237,1625,194,761,70
APAC,China,Alice,Distributor B,Group 1,Category 1,10,2023,3459,169,3461,280,588,72
APAC,China,Alice,Distributor B,Group 1,Category 1,10,2024,4535,184,3176,353,718,28
APAC,China,Alice,Distributor B,Group 1,Category 1,11,2023,4161,405,903,99,222,45
APAC,China,Alice,Distributor B,Group 1,Category 1,11,2024,1876,493,3426,336,371,61
APAC,China,Alice,Distributor B,Group 1,Category 1,12,2023,2570,199,2667,109,413,51
APAC,China,Alice,Distributor B,Group 1,Category 1,12,2024,4179,331,972,333,875,40
APAC,China,Alice,Distributor B,Group 1,Category 2,1,2023,1060,321,1715,125,743,28
APAC,China,Alice,Distributor B,Group 1,Category 2,1,2024,4045,462,1134,84,887,66
APAC,China,Alice,Distributor B,Group 1,Category 2,1,2025,3983,465,1315,259,361,80
APAC,China,Alice,Distributor B,Group 1,Category 2,2,2023,2278,359,1441,275,697,79
APAC,China,Alice,Distributor B,Group 1,Category 2,2,2024,4215,119,2105,270,346,79
APAC,China,Alice,Distributor B,Group 1,Category 2,2,2025,3973,243,1916,259,754,80
APAC,China,Alice,Distributor B,Group 1,Category 2,3,2023,4009,359,1313,164,939,81
APAC,China,Alice,Distributor B,Group 1,Category 2,3,2024,4406,149,3844,382,778,28
APAC,China,Alice,Distributor B,Group 1,Category 2,3,2025,3924,297,3812,132,463,72
APAC,China,Alice,Distributor B,Group 1,Category 2,4,2023,1699,307,1551,141,401,69
APAC,China,Alice,Distributor B,Group 1,Category 2,4,2024,2796,439,2960,182,838,60
APAC,China,Alice,Distributor B,Group 1,Category 2,4,2025,1053,402,3610,173,905,90
APAC,China,Alice,Distributor B,Group 1,Category 2,5,2023,2294,447,1223,95,454,65
APAC,China,Alice,Distributor B,Group 1,Category 2,5,2024,1265,494,1334,337,381,58
APAC,China,Alice,Distributor B,Group 1,Category 2,5,2025,1203,400,1677,355,612,40
APAC,China,Alice,Distributor B,Group 1,Category 2,6,2023,4688,267,1465,332,213,49
APAC,China,Alice,Distributor B,Group 1,Category 2,6,2024,1907,289,1839,326,872,26
APAC,China,Alice,Distributor B,Group 1,Category 2,6,2025,3686,194,1542,185,926,85
APAC,China,Alice,Distributor B,Group 1,Category 2,7,2023,1188,229,3768,246,309,59
APAC,China,Alice,Distributor B,Group 1,Category 2,7,2024,1560,391,1933,379,949,87
APAC,China,Alice,Distributor B,Group 1,Category 2,7,2025,1695,361,1061,303,711,98
APAC,China,Alice,Distributor B,Group 1,Category 2,8,2023,1640,458,2836,276,287,42
APAC,China,Alice,Distributor B,Group 1,Category 2,8,2024,3277,271,3162,135,374,26
APAC,China,Alice,Distributor B,Group 1,Category 2,8,2025,2824,437,2269,255,785,78
APAC,China,Alice,Distributor B,Group 1,Category 2,9,2023,3812,482,3688,271,821,68
APAC,China,Alice,Distributor B,Group 1,Category 2,9,2024,4083,139,1854,315,728,59
APAC,China,Alice,Distributor B,Group 1,Category 2,10,2023,3237,178,2411,327,544,92
APAC,China,Alice,Distributor B,Group 1,Category 2,10,2024,1370,231,3041,117,991,92
APAC,China,Alice,Distributor B,Group 1,Category 2,11,2023,2546,199,2583,385,964,20
APAC,China,Alice,Distributor B,Group 1,Category 2,11,2024,2705,413,1400,280,794,25
APAC,China,Alice,Distributor B,Group 1,Category 2,12,2023,2649,180,3474,365,333,40
APAC,China,Alice,Distributor B,Group 1,Category 2,12,2024,2766,224,879,229,217,43
APAC,China,Alice,Distributor B,Group 1,Category 3,1,2023,3015,343,1176,177,854,97
APAC,China,Alice,Distributor B,Group 1,Category 3,1,2024,1287,484,2015,143,316,32
APAC,China,Alice,Distributor B,Group 1,Category 3,1,2025,3435,321,2481,176,206,47
APAC,China,Alice,Distributor B,Group 1,Category 3,2,2023,2640,142,1372,145,694,55
APAC,China,Alice,Distributor B,Group 1,Category 3,2,2024,2451,254,1969,166,574,57
APAC,China,Alice,Distributor B,Group 1,Category 3,2,2025,3837,245,3170,173,258,77
APAC,China,Alice,Distributor B,Group 1,Category 3,3,2023,3971,471,3719,140,216,89
APAC,China,Alice,Distributor B,Group 1,Category 3,3,2024,1621,408,2473,120,821,24
APAC,China,Alice,Distributor B,Group 1,Category 3,3,2025,4613,215,2229,339,208,54
APAC,China,Alice,Distributor B,Group 1,Category 3,4,2023,2283,456,2021,290,435,82
APAC,China,Alice,Distributor B,Group 1,Category 3,4,2024,1015,164,1520,144,989,70
APAC,China,Alice,Distributor B,Group 1,Category 3,4,2025,2123,161,1279,287,894,72
APAC,China,Alice,Distributor B,Group 1,Category 3,5,2023,4707,308,1959,340,873,94
APAC,China,Alice,Distributor B,Group 1,Category 3,5,2024,2239,249,1780,197,798,38
APAC,China,Alice,Distributor B,Group 1,Category 3,5,2025,2746,150,954,101,634,57
APAC,China,Alice,Distributor B,Group 1,Category 3,6,2023,2149,392,2346,338,569,72
APAC,China,Alice,Distributor B,Group 1,Category 3,6,2024,4456,493,2279,190,604,69
APAC,China,Alice,Distributor B,Group 1,Category 3,6,2025,1818,415,2873,87,592,22
APAC,China,Alice,Distributor B,Group 1,Category 3,7,2023,2865,105,1913,145,442,70
APAC,China,Alice,Distributor B,Group 1,Category 3,7,2024,3865,117,1388,330,566,25
APAC,China,Alice,Distributor B,Group 1,Category 3,7,2025,3080,444,920,168,393,78
APAC,China,Alice,Distributor B,Group 1,Category 3,8,2023,4332,102,2898,251,280,72
APAC,China,Alice,Distributor B,Group 1,Category 3,8,2024,3087,188,1714,250,391,40
APAC,China,Alice,Distributor B,Group 1,Category 3,8,2025,1143,170,3958,368,553,87
APAC,China,Alice,Distributor B,Group 1,Category 3,9,2023,4851,238,961,334,372,72
APAC,China,Alice,Distributor B,Group 1,Category 3,9,2024,1172,485,3775,179,917,57
APAC,China,Alice,Distributor B,Group 1,Category 3,10,2023,1790,300,1221,329,872,65
APAC,China,Alice,Distributor B,Group 1,Category 3,10,2024,1890,332,2357,159,825,57
APAC,China,Alice,Distributor B,Group 1,Category 3,11,2023,1920,180,1316,139,623,98
APAC,China,Alice,Distributor B,Group 1,Category 3,11,2024,3335,289,2257,113,576,66
APAC,China,Alice,Distributor B,Group 1,Category 3,12,2023,3598,100,1537,252,320,70
APAC,China,Alice,Distributor B,Group 1,Category 3,12,2024,3319,325,3325,168,273,78
APAC,China,Alice,Distributor B,Group 2,Category 1,1,2023,2731,338,3440,235,845,70
APAC,China,Alice,Distributor B,Group 2,Category 1,1,2024,3214,174,1310,252,258,26
APAC,China,Alice,Distributor B,Group 2,Category 1,1,2025,1445,223,3928,111,798,38
APAC,China,Alice,Distributor B,Group 2,Category 1,2,2023,3454,417,2858,129,559,24
APAC,China,Alice,Distributor B,Group 2,Category 1,2,2024,1856,489,3927,334,393,49
APAC,China,Alice,Distributor B,Group 2,Category 1,2,2025,4825,251,1643,199,551,99
APAC,China,Alice,Distributor B,Group 2,Category 1,3,2023,1118,373,2233,221,698,75
APAC,China,Alice,Distributor B,Group 2,Category 1,3,2024,4108,381,2546,360,849,22
APAC,China,Alice,Distributor B,Group 2,Category 1,3,2025,1077,142,2917,272,532,73
APAC,China,Alice,Distributor B,Group 2,Category 1,4,2023,3789,443,2886,99,960,54
APAC,China,Alice,Distributor B,Group 2,Category 1,4,2024,2370,297,2964,381,548,22
APAC,China,Alice,Distributor B,Group 2,Category 1,4,2025,2105,402,2703,280,816,34
APAC,China,Alice,Distributor B,Group 2,Category 1,5,2023,4229,173,1582,170,571,70
APAC,China,Alice,Distributor B,Group 2,Category 1,5,2024,1695,213,1930,374,594,55
APAC,China,Alice,Distributor B,Group 2,Category 1,5,2025,2106,362,3064,248,380,36
APAC,China,Alice,Distributor B,Group 2,Category 1,6,2023,1338,372,3545,333,808,72
APAC,China,Alice,Distributor B,Group 2,Category 1,6,2024,1726,198,1632,280,615,57
APAC,China,Alice,Distributor B,Group 2,Category 1,6,2025,3770,490,1896,303,429,94
APAC,China,Alice,Distributor B,Group 2,Category 1,7,2023,1253,117,909,208,236,23
APAC,China,Alice,Distributor B,Group 2,Category 1,7,2024,3415,263,946,234,648,70
